 rt 	  est 	  resp 	  laten 	  good 	  SU 
 235	 1	 4	 514249	 1	 P_MM_06101994
 -99	 2	 -99	 515171	 1	 P_MM_06101994
 266	 1	 4	 516514	 1	 P_MM_06101994
 -99	 2	 -99	 517889	 1	 P_MM_06101994
 264	 1	 4	 519937	 1	 P_MM_06101994
 343	 1	 4	 521687	 1	 P_MM_06101994
 422	 1	 4	 522749	 1	 P_MM_06101994
 266	 1	 4	 524780	 1	 P_MM_06101994
 282	 1	 4	 526014	 1	 P_MM_06101994
 327	 1	 4	 527499	 1	 P_MM_06101994
 265	 1	 4	 529859	 1	 P_MM_06101994
 -99	 2	 -99	 530796	 1	 P_MM_06101994
 250	 1	 4	 532639	 1	 P_MM_06101994
 328	 1	 4	 534764	 1	 P_MM_06101994
 266	 1	 4	 536639	 1	 P_MM_06101994
 344	 1	 4	 537905	 1	 P_MM_06101994
 297	 1	 4	 539467	 1	 P_MM_06101994
 234	 1	 4	 541217	 1	 P_MM_06101994
 250	 1	 4	 542967	 1	 P_MM_06101994
 -99	 2	 -99	 544764	 1	 P_MM_06101994
 280	 1	 4	 546984	 1	 P_MM_06101994
 -99	 2	 -99	 548076	 1	 P_MM_06101994
 266	 1	 4	 549655	 1	 P_MM_06101994
 327	 1	 4	 551687	 1	 P_MM_06101994
 250	 1	 4	 553155	 1	 P_MM_06101994
 266	 1	 4	 554921	 1	 P_MM_06101994
 220	 1	 4	 556467	 1	 P_MM_06101994
 250	 2	 4	 558609	 1	 P_MM_06101994
 407	 1	 4	 559967	 1	 P_MM_06101994
 329	 1	 4	 562342	 1	 P_MM_06101994
 359	 1	 4	 563421	 1	 P_MM_06101994
 391	 1	 4	 565796	 1	 P_MM_06101994
 235	 1	 4	 567514	 1	 P_MM_06101994
 313	 2	 4	 569171	 1	 P_MM_06101994
 312	 1	 4	 570905	 1	 P_MM_06101994
 313	 1	 4	 572076	 1	 P_MM_06101994
 266	 1	 4	 574421	 1	 P_MM_06101994
 329	 2	 4	 575576	 1	 P_MM_06101994
 282	 1	 4	 577717	 1	 P_MM_06101994
 -99	 2	 -99	 579562	 1	 P_MM_06101994
 266	 1	 4	 581421	 1	 P_MM_06101994
