"","onset","duration","value","response","rt","good","SU","misport_code","misport_port","misport_time","misport_time_error","seq"
"304",34.1152,1,21,1,307.1,1,2,0,0,0,0,0
"305",35.4818,1,10,1,332.5,1,2,0,0,0,0,1
"306",36.8317,1,10,1,342.6,1,2,0,0,0,0,2
"307",38.0983,1,10,1,388,1,2,0,0,0,0,3
"308",39.3983,1,10,1,352.1,1,2,0,0,0,0,4
"309",41.1482,1,10,1,522.1,1,2,0,0,0,0,5
"310",42.6315,1,10,1,302.7,1,2,0,0,0,0,6
"311",44.448,1,10,1,438.3,1,2,0,0,0,0,7
"312",45.848,1,21,-99,-99,1,2,0,0,0,0,0
"313",47.2479,1,10,1,342.3,1,2,0,0,0,0,1
"314",49.0645,1,10,1,397.6,1,2,0,0,0,0,2
"315",50.1478,1,10,1,466.4,1,2,0,0,0,0,3
"316",51.9644,1,21,-99,-99,1,2,0,0,0,0,0
"317",53.781,1,10,1,337.1,1,2,0,0,0,0,1
"318",54.9476,1,10,1,338.6,1,2,0,0,0,0,2
"319",56.1308,1,10,1,307.3,1,2,0,0,0,0,3
"320",57.5808,1,10,1,361.4,1,2,0,0,0,0,4
"321",59.3474,1,10,1,338.7,1,2,0,0,0,0,5
"322",60.8307,1,21,-99,-99,1,2,0,0,0,0,0
"323",62.314,1,10,1,428,1,2,0,0,0,0,1
"324",63.7639,1,21,-99,-99,1,2,0,0,0,0,0
"325",65.1971,1,10,1,297,1,2,0,0,0,0,1
"326",66.9137,1,10,1,404.3,1,2,0,0,0,0,2
"327",68.2303,1,10,1,319.7,1,2,0,0,0,0,3
"328",69.5636,1,10,1,346.5,1,2,0,0,0,0,4
"329",70.9469,1,10,1,323.1,1,2,0,0,0,0,5
"330",72.5302,1,21,-99,-99,1,2,0,0,0,0,0
"331",75.5467,1,10,1,507.2,1,2,0,0,0,0,1
"332",76.9466,1,21,-99,-99,1,2,0,0,0,0,0
"333",78.3466,1,10,1,363.3,1,2,0,0,0,0,1
"334",79.7798,1,10,1,306.2,1,2,0,0,0,0,2
"335",81.1464,1,10,1,331.5,1,2,0,0,0,0,3
"336",82.5131,1,10,1,356.8,1,2,0,0,0,0,4
"337",84.013,1,10,1,312.8,1,2,0,0,0,0,5
"338",85.1629,1,10,1,363,1,2,0,0,0,0,6
"339",86.2962,1,10,1,365.6,1,2,0,0,0,0,7
"340",87.4628,1,21,-99,-99,1,2,0,0,0,0,0
"341",88.6295,1,10,1,352.4,1,2,0,0,0,0,1
"342",90.0794,1,21,1,326.4,1,2,0,0,0,0,0
"343",91.5293,1,10,1,316.5,1,2,0,0,0,0,1
"344",92.8459,1,10,1,391.9,1,2,0,0,0,0,2
"345",94.0125,1,10,1,345.3,1,2,0,0,0,0,3
"346",95.3458,1,10,1,340,1,2,0,0,0,0,4
"347",96.8624,1,10,1,423.4,1,2,0,0,0,0,5
"348",97.9957,1,10,1,346.1,1,2,0,0,0,0,6
"349",99.2123,1,10,1,345.4,1,2,0,0,0,0,7
"350",100.7456,1,21,-99,-99,1,2,0,0,0,0,0
"351",102.2789,1,10,1,334.8,1,2,0,0,0,0,1
"352",103.5288,1,10,1,396.9,1,2,0,0,0,0,2
"353",104.6454,1,10,1,384.3,1,2,0,0,0,0,3
"354",105.8454,1,10,1,352.3,1,2,0,0,0,0,4
"355",107.2616,1,10,1,376.1,1,2,0,0,0,0,5
"356",108.4286,1,21,-99,-99,1,2,0,0,0,0,0
"357",109.5952,1,10,1,314.4,1,2,0,0,0,0,1
"358",111.1618,1,10,1,347.9,1,2,0,0,0,0,2
"359",112.7451,1,10,1,412.5,1,2,0,0,0,0,3
"360",114.2783,1,10,1,303.3,1,2,0,0,0,0,4
"361",116.9116,1,10,1,454,1,2,0,0,0,0,5
"362",117.9115,1,10,1,462.1,1,2,0,0,0,0,6
"363",119.7281,1,10,1,325.4,1,2,0,0,0,0,7
"364",121.128,1,10,1,317.6,1,2,0,0,0,0,8
"365",122.378,1,10,1,331.6,1,2,0,0,0,0,9
"366",124.0612,1,21,-99,-99,1,2,0,0,0,0,0
"367",125.7445,1,10,1,341.1,1,2,0,0,0,0,1
"368",127.3444,1,21,1,325.1,1,2,0,0,0,0,0
"369",128.9444,1,10,1,309.1,1,2,0,0,0,0,1
"370",130.461,1,21,-99,-99,1,2,0,0,0,0,0
"371",131.9776,1,10,1,539.9,1,2,0,0,0,0,1
"372",133.6775,1,10,1,375.9,1,2,0,0,0,0,2
"373",135.1108,1,10,1,334.6,1,2,0,0,0,0,3
"374",136.644,1,10,1,353.4,1,2,0,0,0,0,4
"375",137.8606,1,10,1,384.7,1,2,0,0,0,0,5
"376",138.9606,1,21,-99,-99,1,2,0,0,0,0,0
"377",140.0605,1,10,1,552.9,1,2,0,0,0,0,1
"378",141.4271,1,10,1,290.3,1,2,0,0,0,0,2
"379",143.2437,1,10,1,425.7,1,2,0,0,0,0,3
"380",144.9103,1,10,1,375.1,1,2,0,0,0,0,4
"381",145.9936,1,10,1,411.7,1,2,0,0,0,0,5
"382",147.2602,1,21,-99,-99,1,2,0,0,0,0,0
"383",148.5268,1,10,1,406.5,1,2,0,0,0,0,1
"384",150.0601,1,10,1,361.2,1,2,0,0,0,0,2
"385",151.8767,1,10,1,320.6,1,2,0,0,0,0,3
"386",152.9432,1,10,1,374.1,1,2,0,0,0,0,4
"387",154.7599,1,10,1,349.4,1,2,0,0,0,0,5
"388",156.0598,1,21,-99,-99,1,2,0,0,0,0,0
"389",157.3598,1,10,1,325.3,1,2,0,0,0,0,1
"390",159.0097,1,21,-99,-99,1,2,0,0,0,0,0
"391",162.1262,1,10,1,359,1,2,0,0,0,0,1
"392",163.1929,1,10,1,396.3,1,2,0,0,0,0,2
"393",164.4095,1,10,1,331.7,1,2,0,0,0,0,3
"394",165.9927,1,21,-99,-99,1,2,0,0,0,0,0
"395",167.576,1,10,1,333.2,1,2,0,0,0,0,1
"396",169.1593,1,10,1,317.8,1,2,0,0,0,0,2
"397",170.9259,1,10,1,519.2,1,2,0,0,0,0,3
"398",172.4424,1,10,1,362.7,1,2,0,0,0,0,4
"399",173.4757,1,10,1,449.4,1,2,0,0,0,0,5
"400",175.2757,1,10,1,521.4,1,2,0,0,0,0,6
"401",176.7256,1,10,1,335.4,1,2,0,0,0,0,7
"402",178.1255,1,21,-99,-99,1,2,0,0,0,0,0
"403",179.5255,1,10,1,335.6,1,2,0,0,0,0,1
"404",180.5921,1,10,1,356.9,1,2,0,0,0,0,2
"405",182.292,1,10,1,353,1,2,0,0,0,0,3
"406",184.1086,1,21,-99,-99,1,2,0,0,0,0,0
"407",185.9252,1,10,1,351.8,1,2,0,0,0,0,1
"408",187.5585,1,10,1,318.4,1,2,0,0,0,0,2
"409",188.9084,1,10,1,344.6,1,2,0,0,0,0,3
"410",190.3583,1,21,1,334.6,1,2,0,0,0,0,0
"411",191.7916,1,10,1,309.3,1,2,0,0,0,0,1
"412",192.9582,1,10,1,342.7,1,2,0,0,0,0,2
"413",194.2582,1,10,1,322.7,1,2,0,0,0,0,3
"414",195.9247,1,10,1,336.2,1,2,0,0,0,0,4
"415",197.258,1,10,1,458.9,1,2,0,0,0,0,5
"416",198.6246,1,10,1,324.3,1,2,0,0,0,0,6
"417",200.2412,1,10,1,339.7,1,2,0,0,0,0,7
"418",201.4245,1,21,-99,-99,1,2,0,0,0,0,0
"419",202.6078,1,10,1,405,1,2,0,0,0,0,1
"420",203.7911,1,10,1,357.8,1,2,0,0,0,0,2
"421",205.9243,1,10,1,432.5,1,2,0,0,0,0,3
"422",206.8909,1,10,1,441.9,1,2,0,0,0,0,4
"423",208.7075,1,10,1,401.3,1,2,0,0,0,0,5
"424",210.1908,1,10,1,438,1,2,0,0,0,0,6
"425",211.4907,1,10,1,274.1,1,2,0,0,0,0,7
"426",212.9573,1,10,1,359.5,1,2,0,0,0,0,8
"427",214.1906,1,10,1,390.1,1,2,0,0,0,0,9
"428",215.7239,1,21,1,328.8,1,2,0,0,0,0,0
"429",217.2571,1,10,1,427.6,1,2,0,0,0,0,1
"430",218.4404,1,10,1,348.3,1,2,0,0,0,0,2
"431",220.257,1,10,1,339.7,1,2,0,0,0,0,3
"432",221.357,1,21,-99,-99,1,2,0,0,0,0,0
"433",222.4569,1,10,1,491.8,1,2,0,0,0,0,1
