"","rt","est","resp","laten","good","SU","Age","Sex"
"462",329,1,4,361671,1,19,20,"F"
"463",297,1,4,363266,1,19,20,"F"
"464",-99,2,-99,365030,1,19,20,"F"
"465",328,1,4,367093,1,19,20,"F"
"466",280,1,4,369375,1,19,20,"F"
"467",327,1,4,370391,1,19,20,"F"
"468",327,1,4,372391,1,19,20,"F"
"469",328,1,4,374218,1,19,20,"F"
"470",-99,2,-99,375343,1,19,20,"F"
"471",265,1,4,377578,1,19,20,"F"
"472",280,1,4,379016,1,19,20,"F"
"473",344,1,4,380734,1,19,20,"F"
"474",296,1,4,381859,1,19,20,"F"
"475",298,1,4,383968,1,19,20,"F"
"476",-99,2,-99,386063,1,19,20,"F"
"477",329,1,4,387171,1,19,20,"F"
"478",266,1,4,389155,1,19,20,"F"
"479",280,1,4,391141,1,19,20,"F"
"480",267,1,4,392671,1,19,20,"F"
"481",375,1,4,394171,1,19,20,"F"
"482",-99,2,-99,396203,1,19,20,"F"
"483",375,1,4,397359,1,19,20,"F"
"484",250,1,4,399234,1,19,20,"F"
"485",265,1,4,401078,1,19,20,"F"
"486",266,1,4,402859,1,19,20,"F"
"487",375,1,4,403921,1,19,20,"F"
"488",406,1,4,406328,1,19,20,"F"
"489",328,1,4,407938,1,19,20,"F"
"490",-99,2,-99,409671,1,19,20,"F"
"491",280,1,4,411125,1,19,20,"F"
"492",280,2,4,413141,1,19,20,"F"
"493",250,1,4,414328,1,19,20,"F"
"494",267,1,4,415546,1,19,20,"F"
"495",391,1,4,417718,1,19,20,"F"
"496",265,2,4,419688,1,19,20,"F"
"497",265,1,4,421828,1,19,20,"F"
"498",298,1,4,423968,1,19,20,"F"
"499",345,1,4,425655,1,19,20,"F"
"500",297,1,4,427141,1,19,20,"F"
"501",375,1,4,527296,1,19,20,"F"
"502",-99,2,-99,529155,1,19,20,"F"
"503",298,1,4,531468,1,19,20,"F"
"504",296,1,4,533859,1,19,20,"F"
"505",313,1,4,535905,1,19,20,"F"
"506",-99,2,-99,537828,1,19,20,"F"
"507",282,1,4,539859,1,19,20,"F"
"508",361,1,4,541655,1,19,20,"F"
"509",375,1,4,543813,1,19,20,"F"
"510",343,2,4,546016,1,19,20,"F"
"511",266,1,4,547484,1,19,20,"F"
"512",280,1,4,548563,1,19,20,"F"
"513",297,1,4,550141,1,19,20,"F"
"514",313,1,4,551828,1,19,20,"F"
"515",280,1,4,553563,1,19,20,"F"
"516",-99,2,-99,554516,1,19,20,"F"
"517",280,1,4,556313,1,19,20,"F"
"518",282,2,4,558218,1,19,20,"F"
"519",266,1,4,559859,1,19,20,"F"
"520",281,1,4,561578,1,19,20,"F"
"521",343,1,4,563500,1,19,20,"F"
"522",-99,2,-99,565843,1,19,20,"F"
"523",328,1,4,566938,1,19,20,"F"
"524",342,1,4,568688,1,19,20,"F"
"525",297,1,4,570891,1,19,20,"F"
"526",-99,2,-99,573203,1,19,20,"F"
"527",250,1,4,574780,1,19,20,"F"
"528",297,1,4,576203,1,19,20,"F"
"529",391,1,4,577968,1,19,20,"F"
"530",280,1,4,580375,1,19,20,"F"
"531",328,1,4,581563,1,19,20,"F"
"532",-99,2,-99,583234,1,19,20,"F"
"533",328,1,4,585625,1,19,20,"F"
"534",313,2,4,587921,1,19,20,"F"
"535",282,1,4,589609,1,19,20,"F"
"536",282,1,4,591234,1,19,20,"F"
"537",313,1,4,593280,1,19,20,"F"
"538",-99,2,-99,595063,1,19,20,"F"
"539",266,1,4,596968,1,19,20,"F"
"540",312,1,4,598218,1,19,20,"F"
"541",328,1,4,599468,1,19,20,"F"
"542",-99,2,-99,601250,1,19,20,"F"
"543",313,1,4,603171,1,19,20,"F"
"544",297,1,4,605296,1,19,20,"F"
"545",280,1,4,606266,1,19,20,"F"
"546",375,1,4,607188,1,19,20,"F"
"547",375,1,4,608171,1,19,20,"F"
"548",-99,2,-99,609438,1,19,20,"F"
"549",297,1,4,611391,1,19,20,"F"
"550",312,1,4,613188,1,19,20,"F"
"551",359,1,4,614671,1,19,20,"F"
"552",359,1,4,616625,1,19,20,"F"
"553",343,1,4,619016,1,19,20,"F"
"554",-99,2,-99,620780,1,19,20,"F"
"555",423,1,4,621780,1,19,20,"F"
"556",282,1,4,623796,1,19,20,"F"
"557",296,1,4,625609,1,19,20,"F"
"558",359,1,4,627375,1,19,20,"F"
"559",327,1,4,629766,1,19,20,"F"
"560",296,1,4,630859,1,19,20,"F"
"561",313,1,4,633250,1,19,20,"F"
"562",-99,2,-99,635109,1,19,20,"F"
"563",390,1,4,636438,1,19,20,"F"
"564",282,1,4,638234,1,19,20,"F"
"565",344,1,4,640109,1,19,20,"F"
"566",328,1,4,642000,1,19,20,"F"
"567",297,1,4,644391,1,19,20,"F"
"568",-99,2,-99,646655,1,19,20,"F"
"569",297,1,4,648171,1,19,20,"F"
"570",312,1,4,649359,1,19,20,"F"
"571",297,1,4,650328,1,19,20,"F"
"572",298,1,4,652593,1,19,20,"F"
"573",312,1,4,654234,1,19,20,"F"
"574",-99,2,-99,656155,1,19,20,"F"
"575",280,1,4,657891,1,19,20,"F"
"576",-99,2,-99,659938,1,19,20,"F"
"577",359,1,4,661046,1,19,20,"F"
"578",375,1,4,662530,1,19,20,"F"
"579",345,1,4,664530,1,19,20,"F"
"580",359,1,4,665500,1,19,20,"F"
"581",313,1,4,667046,1,19,20,"F"
"582",360,1,4,668468,1,19,20,"F"
"583",375,1,4,670516,1,19,20,"F"
"584",-99,2,-99,672375,1,19,20,"F"
"585",283,1,4,674030,1,19,20,"F"
"586",327,1,4,675953,1,19,20,"F"
"587",297,1,4,677296,1,19,20,"F"
"588",390,2,4,679688,1,19,20,"F"
"589",297,1,4,682078,1,19,20,"F"
"590",-99,2,-99,684078,1,19,20,"F"
"591",391,1,4,685405,1,19,20,"F"
"592",-99,2,-99,686938,1,19,20,"F"
"593",313,1,4,689125,1,19,20,"F"
"594",391,1,4,690484,1,19,20,"F"
"595",297,1,4,692796,1,19,20,"F"
"596",327,1,4,694141,1,19,20,"F"
"597",297,1,4,695796,1,19,20,"F"
"598",360,1,4,697828,1,19,20,"F"
"599",296,1,4,700000,1,19,20,"F"
"600",-99,2,-99,701938,1,19,20,"F"
"601",375,1,4,46850,1,22,20,"M"
"602",-99,2,-99,47787,1,22,20,"M"
"603",328,1,4,49882,1,22,20,"M"
