 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
 450.7	 11	 3	 369704	 1	 1	 2	 BAHA_27122000	 2
 330.2	 11	 3	 371776.5	 1	 1	 3	 BAHA_27122000	 2
 337.4	 11	 3	 375457.3	 1	 1	 4	 BAHA_27122000	 2
 567.1	 11	 1	 378955.6	 1	 1	 5	 BAHA_27122000	 2
 539.2	 11	 3	 380895.5	 1	 1	 6	 BAHA_27122000	 2
 1557.2	 12	 3	 384725.5	 1	 1	 1	 BAHA_27122000	 2
 523.5	 12	 3	 388207.2	 1	 0	 2	 BAHA_27122000	 2
 1028.6	 12	 3	 391606.1	 1	 1	 3	 BAHA_27122000	 2
 865.8	 11	 2	 393744.9	 1	 1	 1	 BAHA_27122000	 2
 512.4	 11	 1	 397442.2	 1	 1	 2	 BAHA_27122000	 2
 425.9	 11	 3	 401056.7	 1	 1	 3	 BAHA_27122000	 2
 497.3	 11	 1	 403361.3	 1	 1	 4	 BAHA_27122000	 2
 448.6	 11	 1	 405898	 1	 1	 5	 BAHA_27122000	 2
 470.3	 11	 1	 408252.3	 1	 0	 6	 BAHA_27122000	 2
 831.8	 12	 2	 411866.8	 1	 1	 1	 BAHA_27122000	 2
 1231.7	 12	 3	 414386.9	 1	 1	 2	 BAHA_27122000	 2
 1092.4	 12	 3	 417454.2	 1	 1	 3	 BAHA_27122000	 2
 600.4	 11	 2	 420770.2	 1	 1	 1	 BAHA_27122000	 2
 424.5	 11	 2	 423970.1	 1	 1	 2	 BAHA_27122000	 2
 446.6	 11	 3	 426540	 1	 1	 3	 BAHA_27122000	 2
 389.4	 11	 1	 428861.2	 1	 1	 4	 BAHA_27122000	 2
 447.9	 11	 3	 431762.7	 1	 1	 5	 BAHA_27122000	 2
 454	 11	 2	 434332.6	 1	 1	 6	 BAHA_27122000	 2
 404.8	 11	 3	 436653.7	 1	 1	 7	 BAHA_27122000	 2
 542	 12	 1	 439820.5	 1	 1	 1	 BAHA_27122000	 2
 504.9	 12	 2	 442025.6	 1	 0	 2	 BAHA_27122000	 2
 922.7	 12	 2	 445175.8	 1	 1	 3	 BAHA_27122000	 2
 538	 12	 3	 448624.5	 1	 0	 4	 BAHA_27122000	 2
 480.1	 11	 1	 451426.4	 1	 1	 1	 BAHA_27122000	 2
 300.4	 11	 2	 455190.1	 1	 0	 2	 BAHA_27122000	 2
 577.4	 11	 2	 457793.1	 1	 1	 3	 BAHA_27122000	 2
 415.5	 11	 3	 461507	 1	 1	 4	 BAHA_27122000	 2
 648.9	 11	 1	 464209.6	 1	 1	 5	 BAHA_27122000	 2
 589.1	 11	 1	 466149.4	 1	 1	 6	 BAHA_27122000	 2
 508	 11	 2	 469382.5	 1	 1	 7	 BAHA_27122000	 2
 431.3	 11	 2	 471803.2	 1	 1	 8	 BAHA_27122000	 2
 589	 12	 1	 475301.5	 1	 1	 1	 BAHA_27122000	 2
 385.8	 12	 3	 477904.6	 1	 0	 2	 BAHA_27122000	 2
 487.1	 12	 2	 480955.3	 1	 0	 3	 BAHA_27122000	 2
